,0
439,5
440,7
441,8
442,2
443,0
444,5
445,3
446,8
447,8
448,8
449,3
450,3
451,8
452,7
453,5
454,9
455,2
456,3
457,4
458,5
459,7
460,5
461,4
462,5
463,7
464,7
465,4
466,0
467,0
468,2
469,0
470,4
471,8
472,0
473,4
474,3
475,2
476,8
477,0
478,7
479,8
480,2
481,4
482,6
483,5
484,0
485,9
486,7
487,0
488,7
489,3
490,2
491,7
492,8
493,2
494,0
495,9
496,8
497,9
498,1
499,7
500,0
501,4
502,2
503,9
504,0
505,9
506,8
507,0
508,3
509,8
510,4
511,4
512,2
513,7
514,9
515,4
516,9
517,4
518,9
519,7
520,8
521,9
522,0
523,5
524,5
525,7
526,6
527,7
528,5
529,4
530,4
531,3
532,3
533,1
534,9
535,2
536,4
537,2
538,4
539,2
540,7
541,5
542,9
543,8
544,9
545,4
546,2
547,8
548,0
549,4
550,8
551,2
552,5
553,2
554,0
555,0
556,4
557,5
558,3
559,7
560,3
561,1
562,2
563,1
564,0
565,0
566,7
567,3
568,7
569,4
570,3
571,4
572,7
573,4
574,4
575,9
576,5
577,3
578,9
579,8
580,4
581,7
582,2
583,8
584,8
585,7
586,1
587,4
588,4
589,8
590,4
591,3
592,8
593,5
594,7
595,4
596,0
597,2
598,0
599,5
600,3
601,5
602,2
603,5
604,9
605,3
606,8
607,4
608,2
609,4
610,5
611,2
612,2
613,4
614,3
615,0
616,7
617,4
618,5
619,7
620,3
621,8
622,7
623,2
624,6
625,8
626,3
627,0
628,8
629,2
630,4
631,8
632,3
633,3
634,7
635,4
636,4
637,2
638,8
639,6
640,4
641,0
642,1
643,7
644,1
645,7
646,2
647,0
648,4
649,2
650,1
651,7
652,0
653,8
654,9
655,2
656,2
657,2
658,3
659,1
660,8
661,7
662,8
663,7
664,0
665,7
666,9
667,5
668,9
669,3
670,9
671,8
672,8
673,5
674,3
675,3
676,7
677,9
678,1
679,9
680,3
681,3
682,6
683,1
684,6
685,3
686,4
687,7
688,9
689,2
690,7
691,2
692,3
693,9
694,8
695,0
696,7
697,2
698,8
699,3
700,5
701,0
702,0
703,8
704,5
705,5
706,2
707,3
708,1
709,0
710,7
711,7
712,1
713,6
714,9
715,3
716,1
717,5
718,3
719,1
720,0
721,0
722,0
723,4
724,8
725,9
726,3
727,6
728,3
729,3
730,4
731,4
732,5
733,0
734,5
735,7
736,7
737,4
738,2
739,0
740,0
741,8
742,2
743,9
744,0
745,8
746,2
747,8
748,7
749,8
750,9
751,2
752,8
753,7
754,2
755,0
756,3
757,2
758,4
759,1
760,3
761,0
762,4
763,7
764,4
765,7
766,4
767,0
768,4
769,5
770,5
771,5
772,4
773,7
774,1
775,8
776,0
777,4
778,4
779,9
780,7
781,5
782,4
783,5
784,3
785,9
786,5
787,3
788,7
789,9
790,2
791,4
792,1
793,2
794,9
795,5
796,7
797,2
798,2
799,2
800,8
801,3
802,2
803,3
804,8
805,2
806,4
807,2
808,7
809,8
810,0
811,9
812,2
813,3
814,1
815,4
816,2
817,9
818,4
819,9
820,9
821,7
822,7
823,2
824,3
825,9
826,2
827,9
828,9
829,5
830,9
831,9
832,7
833,4
834,3
835,6
836,3
837,5
838,8
839,4
840,7
841,5
842,9
843,7
844,2
845,0
846,9
847,5
848,0
849,9
850,4
851,6
852,3
853,8
854,7
855,3
856,7
857,6
858,5
859,7
860,0
861,7
862,9
863,2
864,0
865,5
866,9
867,3
868,3
869,2
870,5
871,5
872,6
873,9
874,2
875,9
876,7
877,7
878,8
879,4
880,5
881,4
882,2
883,8
884,4
885,7
886,0
887,4
888,0
889,7
890,3
891,4
892,1
893,2
894,8
895,2
896,0
897,8
898,3
899,7
900,9
901,6
902,9
903,3
904,6
905,7
906,6
907,1
908,7
909,6
910,6
911,1
912,5
913,5
914,5
915,3
916,2
917,3
918,4
919,2
920,5
921,3
922,4
923,5
924,9
925,7
926,2
927,8
928,8
929,8
930,2
931,8
932,1
933,5
934,7
935,3
936,9
937,6
938,5
939,7
940,4
941,4
942,0
943,2
944,9
945,7
946,7
947,4
948,0
949,0
950,5
951,0
952,7
953,4
954,0
955,9
956,8
957,7
958,9
959,4
960,3
961,2
962,0
963,8
964,8
965,3
966,7
967,8
968,0
969,2
970,0
971,8
972,4
973,3
974,7
975,4
976,8
977,4
978,1
979,3
980,0
981,1
982,2
983,9
984,1
985,4
986,6
987,2
988,3
989,0
990,4
991,0
992,5
993,5
994,6
995,4
996,9
997,4
998,3
999,3
1000,1
1001,8
1002,5
1003,5
1004,9
1005,6
1006,8
1007,5
1008,9
1009,3
1010,3
1011,8
1012,3
1013,9
1014,2
1015,2
1016,7
1017,9
1018,4
1019,3
1020,7
1021,9
1022,7
1023,7
1024,7
1025,7
1026,9
1027,0
1028,9
1029,9
1030,0
1031,7
1032,2
1033,5
1034,3
1035,4
1036,3
1037,9
1038,7
1039,1
1040,5
1041,4
1042,2
1043,7
1044,8
1045,8
1046,2
1047,9
1048,3
1049,0
1050,2
1051,3
1052,7
1053,7
1054,9
1055,7
1056,4
1057,5
1058,0
1059,5
1060,4
1061,1
1062,9
1063,1
1064,5
1065,2
1066,0
1067,0
1068,4
1069,3
1070,2
1071,5
1072,4
1073,2
1074,6
1075,9
1076,6
1077,2
1078,0
1079,9
1080,7
1081,5
1082,6
1083,1
1084,4
1085,7
1086,7
1087,8
1088,0
1089,7
1090,4
1091,5
1092,0
1093,7
1094,3
1095,7
1096,4
1097,4
1098,5
1099,4
1100,2
1101,4
1102,0
1103,0
1104,8
1105,7
1106,0
1107,0
1108,5
1109,3
1110,5
1111,3
1112,2
1113,1
1114,5
1115,9
1116,2
1117,2
1118,7
1119,2
1120,0
1121,7
1122,4
1123,7
1124,5
1125,7
1126,5
1127,2
1128,7
1129,8
1130,8
1131,7
1132,9
1133,2
1134,5
1135,5
1136,7
1137,0
1138,7
1139,0
1140,1
1141,3
1142,7
1143,7
1144,6
1145,2
1146,5
1147,3
1148,7
1149,1
1150,0
1151,3
1152,0
1153,8
1154,2
1155,1
1156,4
1157,9
1158,3
1159,3
1160,8
1161,2
1162,7
1163,9
1164,5
1165,2
1166,5
1167,4
1168,7
1169,2
1170,9
1171,0
1172,9
1173,1
1174,9
1175,3
1176,5
1177,2
1178,8
1179,3
1180,7
1181,5
1182,4
1183,9
1184,3
1185,1
1186,8
1187,5
1188,0
1189,6
1190,2
1191,2
1192,3
1193,2
1194,7
1195,6
1196,9
1197,1
1198,9
1199,9
1200,8
1201,0
1202,0
1203,8
1204,4
1205,7
1206,2
1207,0
1208,3
1209,8
1210,7
1211,2
1212,3
1213,5
1214,9
1215,2
1216,2
1217,3
1218,8
1219,7
1220,6
1221,4
1222,8
1223,2
1224,9
1225,3
1226,3
1227,9
1228,0
1229,5
1230,0
1231,7
1232,0
1233,7
1234,3
1235,3
1236,7
1237,5
1238,0
1239,8
1240,8
1241,2
1242,8
1243,0
1244,3
1245,1
1246,9
1247,4
1248,3
1249,0
1250,8
1251,0
1252,3
1253,2
1254,3
1255,9
1256,4
1257,3
1258,4
1259,5
1260,3
1261,7
1262,7
1263,8
1264,9
1265,9
1266,5
1267,5
1268,0
1269,5
1270,5
1271,9
1272,7
1273,9
1274,4
1275,7
1276,2
1277,7
1278,6
1279,7
1280,1
1281,4
1282,3
1283,3
1284,8
1285,4
1286,2
1287,9
1288,2
1289,6
1290,0
1291,4
1292,3
1293,0
1294,2
1295,8
1296,8
1297,3
1298,8
1299,2
1300,8
1301,7
1302,7
1303,3
1304,5
1305,4
1306,7
1307,1
1308,6
1309,9
1310,7
1311,1
1312,0
1313,4
1314,4
1315,0
1316,8
1317,0
1318,0
1319,9
1320,4
1321,7
1322,7
1323,3
1324,4
1325,0
1326,3
1327,2
1328,4
1329,5
1330,6
1331,0
1332,1
1333,4
1334,5
1335,0
1336,9
1337,9
1338,4
1339,9
1340,3
1341,4
1342,5
1343,2
1344,2
1345,2
1346,3
1347,1
1348,6
1349,7
1350,1
1351,2
1352,1
1353,5
1354,1
1355,8
1356,3
1357,5
1358,0
1359,9
1360,2
1361,8
1362,8
1363,7
1364,4
1365,4
1366,9
1367,7
1368,9
1369,8
1370,3
1371,2
1372,9
1373,1
1374,3
1375,0
1376,0
1377,0
1378,8
1379,9
1380,9
1381,9
1382,7
1383,4
1384,4
1385,4
1386,2
1387,8
1388,9
1389,7
1390,8
1391,9
1392,4
1393,6
1394,4
1395,0
1396,5
1397,7
1398,3
1399,5
1400,0
1401,7
1402,0
1403,7
1404,5
1405,4
1406,7
1407,4
1408,6
1409,1
1410,8
1411,9
1412,7
1413,4
1414,1
1415,5
1416,1
1417,7
1418,2
1419,4
1420,9
1421,8
1422,7
1423,1
1424,3
1425,8
1426,7
1427,5
1428,2
1429,0
1430,5
1431,2
1432,3
1433,8
1434,3
1435,2
1436,7
1437,7
1438,9
1439,5
1440,8
1441,9
1442,0
1443,0
1444,7
1445,0
1446,3
1447,9
1448,8
1449,8
1450,6
1451,5
1452,9
1453,0
1454,5
1455,8
1456,8
1457,5
1458,3
1459,4
1460,5
1461,3
1462,8
1463,4
1464,4
1465,3
1466,3
1467,3
1468,7
1469,9
1470,7
1471,7
1472,5
1473,2
1474,0
1475,4
1476,9
1477,0
1478,2
1479,8
1480,3
1481,4
1482,6
1483,8
1484,7
1485,3
1486,0
1487,2
1488,3
1489,5
1490,4
1491,8
1492,9
1493,8
1494,7
1495,7
1496,5
1497,8
1498,0
1499,4
1500,7
1501,9
1502,8
1503,2
1504,2
1505,3
1506,5
1507,9
1508,6
1509,7
1510,4
1511,5
1512,9
1513,8
1514,7
1515,2
1516,2
1517,0
1518,7
1519,2
1520,7
1521,3
1522,7
1523,0
1524,9
1525,4
1526,5
1527,7
1528,4
1529,8
1530,4
1531,9
1532,4
1533,1
1534,7
1535,3
1536,5
1537,3
1538,3
1539,4
1540,2
1541,9
1542,0
1543,2
1544,3
1545,8
1546,2
1547,5
1548,7
1549,9
1550,9
1551,2
1552,9
1553,7
1554,0
1555,0
1556,4
1557,2
1558,9
1559,2
1560,0
1561,7
1562,0
1563,7
1564,4
1565,8
1566,9
1567,6
1568,2
1569,0
1570,5
1571,9
1572,5
1573,2
1574,0
1575,0
1576,9
1577,0
1578,0
1579,2
1580,6
1581,3
1582,8
1583,9
1584,0
1585,2
1586,8
1587,3
1588,2
1589,2
1590,7
1591,8
1592,2
1593,0
1594,1
1595,4
1596,2
1597,7
1598,7
1599,6
1600,7
1601,4
1602,4
1603,2
1604,1
1605,9
1606,9
1607,0
1608,9
1609,8
1610,1
1611,5
1612,8
1613,8
1614,5
1615,9
1616,4
1617,3
1618,0
1619,5
1620,0
1621,2
1622,6
1623,8
1624,4
1625,0
1626,4
1627,7
1628,4
1629,5
1630,9
1631,8
1632,0
1633,3
1634,3
1635,9
1636,3
1637,0
1638,5
1639,7
1640,5
1641,0
1642,9
1643,1
1644,3
1645,5
1646,2
1647,7
1648,8
1649,4
1650,2
1651,5
1652,0
1653,2
1654,2
1655,1
1656,2
1657,0
1658,4
1659,2
1660,7
1661,6
1662,0
1663,3
1664,3
1665,5
1666,5
1667,4
1668,8
1669,3
1670,2
1671,3
1672,5
1673,2
1674,5
1675,3
1676,5
1677,3
1678,6
1679,4
1680,3
1681,7
1682,4
1683,5
1684,5
1685,9
1686,5
1687,8
1688,8
1689,3
1690,5
1691,4
1692,3
1693,9
1694,9
1695,9
1696,9
1697,4
1698,8
1699,2
1700,4
1701,2
1702,7
1703,7
1704,7
1705,7
1706,9
1707,4
1708,3
1709,7
1710,5
1711,0
1712,1
1713,8
1714,8
1715,3
1716,5
1717,8
1718,9
1719,7
1720,2
1721,0
1722,5
1723,8
1724,1
1725,5
1726,5
1727,2
1728,4
1729,4
1730,9
1731,0
1732,7
1733,5
1734,5
1735,7
1736,7
1737,3
1738,8
1739,9
1740,6
1741,8
1742,9
1743,8
1744,4
1745,1
1746,3
1747,6
1748,5
1749,4
1750,5
1751,8
1752,0
1753,3
1754,0
1755,5
1756,0
1757,7
1758,0
1759,4
1760,7
1761,3
1762,8
1763,9
1764,0
1765,5
1766,0
1767,9
1768,7
1769,0
1770,4
1771,2
1772,8
1773,9
1774,3
1775,7
1776,4
1777,3
1778,5
1779,7
1780,0
1781,8
1782,7
1783,2
1784,4
1785,9
1786,3
1787,0
1788,3
1789,3
1790,7
1791,2
1792,5
1793,5
1794,1
1795,1
1796,7
1797,1
1798,3
1799,6
1800,8
1801,0
1802,4
1803,8
1804,9
1805,2
1806,4
1807,3
1808,7
1809,9
1810,7
1811,4
1812,9
1813,5
1814,5
1815,5
1816,3
1817,7
1818,8
1819,0
1820,7
1821,8
1822,7
1823,3
1824,0
1825,8
1826,2
1827,5
1828,7
1829,8
1830,8
1831,1
1832,9
1833,9
1834,4
1835,5
1836,9
1837,5
1838,8
1839,6
1840,2
1841,9
1842,3
1843,4
1844,2
1845,0
1846,7
1847,4
1848,0
1849,9
1850,0
1851,5
1852,5
1853,0
1854,5
1855,9
1856,6
1857,5
1858,4
1859,7
1860,8
1861,5
1862,9
1863,0
1864,8
1865,9
1866,2
1867,2
1868,3
1869,9
1870,9
1871,4
1872,4
1873,3
1874,6
1875,7
1876,7
1877,0
1878,1
1879,2
1880,8
1881,1
1882,2
1883,2
1884,4
1885,9
1886,7
1887,8
1888,2
1889,3
1890,6
1891,3
1892,9
1893,4
1894,6
1895,8
1896,1
1897,8
1898,9
1899,7
1900,7
1901,9
1902,2
1903,9
1904,4
1905,2
1906,2
1907,5
1908,9
1909,1
1910,7
1911,4
1912,8
1913,4
1914,2
1915,3
1916,5
1917,0
1918,7
1919,8
1920,5
1921,7
1922,5
1923,4
1924,4
1925,2
1926,2
1927,6
1928,3
1929,9
1930,5
1931,6
1932,3
1933,0
1934,7
1935,4
1936,4
1937,6
1938,6
1939,7
1940,0
1941,7
1942,8
1943,9
1944,3
1945,5
1946,9
1947,2
1948,5
1949,0
1950,3
1951,5
1952,4
1953,3
1954,4
1955,4
1956,4
1957,6
1958,6
1959,8
1960,1
1961,8
1962,3
1963,8
1964,7
1965,5
1966,4
1967,1
1968,9
1969,8
1970,4
1971,2
1972,4
1973,7
1974,2
1975,7
1976,8
1977,1
1978,8
1979,2
1980,8
1981,3
1982,7
1983,1
1984,3
1985,4
1986,2
1987,6
1988,6
1989,8
1990,8
1991,3
1992,0
1993,0
1994,7
1995,9
1996,0
1997,5
1998,3
1999,7
2000,1
2001,4
2002,2
2003,0
2004,9
2005,4
2006,8
2007,5
2008,3
2009,7
2010,3
2011,9
2012,0
2013,8
2014,5
2015,0
2016,8
2017,4
2018,8
2019,2
2020,9
2021,4
2022,3
2023,9
2024,2
2025,0
2026,3
2027,5
2028,4
2029,8
2030,3
2031,5
2032,3
2033,8
2034,3
2035,7
2036,9
2037,3
2038,2
2039,3
2040,5
2041,0
2042,3
2043,0
2044,8
2045,1
2046,7
2047,8
2048,0
2049,8
2050,7
2051,3
2052,7
2053,3
2054,5
2055,3
2056,7
2057,3
2058,7
2059,9
2060,9
2061,6
2062,4
2063,7
2064,8
2065,4
2066,2
2067,8
2068,0
2069,1
2070,8
2071,0
2072,0
2073,2
2074,9
2075,6
2076,4
2077,5
2078,8
2079,2
2080,4
2081,0
2082,9
2083,0
2084,3
2085,7
2086,2
2087,5
2088,3
2089,5
2090,4
2091,9
2092,4
2093,4
2094,7
2095,0
2096,2
2097,5
2098,3
2099,0
2100,1
2101,8
2102,0
2103,9
2104,3
2105,4
2106,1
2107,8
2108,9
2109,5
2110,8
2111,3
2112,5
2113,8
2114,2
2115,7
2116,9
2117,8
2118,5
2119,8
2120,8
2121,7
2122,2
2123,8
2124,4
2125,3
2126,3
2127,4
2128,2
2129,8
2130,5
2131,5
2132,4
2133,2
2134,1
2135,2
2136,3
2137,2
2138,5
2139,8
2140,4
2141,8
2142,2
2143,3
2144,0
2145,0
2146,8
2147,3
2148,6
2149,3
2150,2
2151,6
2152,9
2153,8
2154,8
2155,7
2156,0
2157,4
2158,8
2159,3
2160,2
2161,5
2162,1
2163,2
2164,7
2165,9
2166,9
2167,2
2168,8
2169,1
2170,0
2171,3
2172,6
2173,8
2174,7
2175,7
2176,6
2177,7
2178,3
2179,6
2180,5
2181,3
2182,0
2183,2
2184,0
2185,6
2186,4
2187,7
2188,8
2189,8
2190,0
2191,9
2192,0
2193,3
2194,4
2195,7
2196,4
2197,8
2198,4
2199,4
2200,3
2201,7
2202,1
2203,5
2204,4
2205,1
2206,2
2207,7
2208,2
2209,9
2210,7
2211,7
2212,8
2213,1
2214,2
2215,5
2216,7
2217,1
2218,0
2219,5
2220,4
2221,5
2222,8
2223,8
2224,4
2225,2
2226,5
2227,2
2228,3
2229,9
2230,5
2231,4
2232,6
2233,6
2234,7
2235,4
2236,0
2237,9
2238,5
2239,1
2240,2
2241,8
2242,2
2243,8
2244,0
2245,8
2246,9
2247,9
2248,2
2249,9
2250,7
2251,4
2252,0
2253,3
2254,6
2255,9
2256,6
2257,2
2258,5
2259,7
2260,3
2261,2
2262,4
2263,2
2264,9
2265,7
2266,9
2267,0
2268,9
2269,9
2270,6
2271,8
2272,5
2273,6
2274,2
2275,4
2276,6
2277,1
2278,7
2279,2
2280,4
2281,1
2282,8
2283,7
2284,4
2285,9
2286,5
2287,9
2288,2
2289,8
2290,8
2291,7
2292,4
2293,5
2294,9
2295,2
2296,3
2297,7
2298,7
2299,9
2300,2
2301,9
2302,8
2303,7
2304,9
2305,0
2306,4
2307,4
2308,3
2309,5
2310,7
2311,7
2312,4
2313,5
2314,8
2315,3
2316,3
2317,7
2318,9
2319,0
2320,9
2321,8
2322,5
2323,8
2324,5
2325,1
2326,1
2327,8
2328,1
2329,3
2330,8
2331,7
2332,7
2333,9
2334,9
2335,8
2336,2
2337,9
2338,9
2339,7
2340,3
2341,5
2342,8
2343,7
2344,8
2345,5
2346,2
2347,6
2348,4
2349,3
2350,9
2351,0
2352,9
2353,8
2354,5
2355,8
2356,5
2357,8
2358,3
2359,7
2360,9
2361,6
2362,3
2363,7
2364,5
2365,9
2366,7
2367,7
2368,4
2369,3
2370,2
2371,9
2372,0
2373,3
2374,7
2375,2
2376,4
2377,7
2378,0
2379,0
2380,3
2381,0
2382,7
2383,5
2384,5
2385,5
2386,1
2387,5
2388,3
2389,8
2390,2
2391,2
2392,1
2393,8
2394,9
2395,0
2396,8
2397,0
2398,9
2399,3
2400,3
2401,8
2402,8
2403,4
2404,5
2405,1
2406,8
2407,5
2408,0
2409,6
2410,6
2411,5
2412,4
2413,9
2414,8
2415,2
2416,5
2417,7
2418,7
2419,7
2420,9
2421,7
2422,5
2423,8
2424,4
2425,9
2426,7
2427,4
2428,2
2429,7
2430,7
2431,8
2432,0
2433,2
2434,0
2435,7
2436,9
2437,2
2438,2
2439,0
2440,2
2441,5
2442,7
2443,1
2444,9
2445,5
2446,0
2447,2
2448,3
2449,3
2450,7
2451,2
2452,5
2453,7
2454,5
2455,0
2456,6
2457,5
2458,0
2459,0
2460,8
2461,3
2462,7
2463,0
2464,0
2465,6
2466,0
2467,0
2468,5
2469,9
2470,5
2471,2
2472,8
2473,0
2474,7
2475,9
2476,2
2477,0
2478,0
2479,4
2480,2
2481,5
2482,1
2483,9
2484,3
2485,7
2486,4
2487,2
2488,5
2489,2
2490,9
2491,7
2492,7
2493,3
2494,5
2495,1
2496,7
2497,9
2498,5
2499,4
2500,5
2501,9
2502,9
2503,9
2504,7
2505,3
2506,4
2507,7
2508,1
2509,5
2510,8
2511,0
2512,8
2513,2
2514,7
2515,7
2516,5
2517,9
2518,5
2519,0
2520,3
2521,8
2522,3
2523,7
2524,7
2525,0
2526,3
2527,7
2528,3
2529,5
2530,0
2531,9
2532,5
2533,9
2534,5
2535,2
2536,4
2537,0
2538,9
2539,8
2540,4
2541,7
2542,5
2543,3
2544,4
2545,8
2546,0
2547,0
2548,5
2549,3
2550,8
2551,4
2552,8
2553,0
2554,5
2555,0
2556,5
2557,5
2558,2
2559,7
2560,3
2561,5
2562,0
2563,4
2564,5
2565,8
2566,9
2567,3
2568,8
2569,1
2570,5
2571,2
2572,2
2573,7
2574,0
2575,5
2576,8
2577,8
2578,2
2579,7
2580,9
2581,5
2582,7
2583,1
2584,8
2585,3
2586,0
2587,0
2588,8
2589,0
2590,0
2591,3
2592,5
2593,8
2594,2
2595,7
2596,8
2597,0
2598,2
2599,3
2600,0
2601,8
2602,2
2603,8
2604,5
2605,4
2606,0
2607,7
2608,4
2609,4
2610,7
2611,7
2612,7
2613,4
2614,0
2615,2
2616,2
2617,4
2618,3
2619,2
2620,9
2621,2
2622,4
2623,0
2624,4
2625,3
2626,4
2627,3
2628,1
2629,9
2630,4
2631,0
2632,9
2633,4
2634,3
2635,1
2636,2
2637,8
2638,8
2639,2
2640,4
2641,4
2642,3
2643,4
2644,6
2645,9
2646,8
2647,0
2648,7
2649,1
2650,2
2651,2
2652,5
2653,4
2654,7
2655,8
2656,4
2657,2
2658,5
2659,3
2660,8
2661,5
2662,7
2663,5
2664,2
2665,8
2666,0
2667,5
2668,4
2669,3
2670,4
2671,1
2672,3
2673,7
2674,2
2675,9
2676,7
2677,9
2678,0
2679,8
2680,0
2681,0
2682,1
2683,1
2684,3
2685,1
2686,8
2687,5
2688,2
2689,2
2690,4
2691,2
2692,8
2693,5
2694,4
2695,3
2696,8
2697,5
2698,1
2699,2
2700,2
2701,9
2702,3
2703,2
2704,7
2705,5
2706,8
2707,7
2708,1
2709,3
2710,2
2711,2
2712,8
2713,5
2714,3
2715,5
2716,3
2717,4
2718,5
2719,3
2720,0
2721,8
2722,8
2723,4
2724,0
2725,9
2726,2
2727,1
2728,6
2729,0
2730,1
2731,2
2732,9
2733,8
2734,8
2735,2
2736,8
2737,9
2738,8
2739,7
2740,0
2741,3
2742,5
2743,8
2744,5
2745,9
2746,8
2747,2
2748,5
2749,7
2750,8
2751,7
2752,7
2753,2
2754,1
2755,1
2756,5
2757,4
2758,8
2759,0
2760,5
2761,3
2762,2
2763,3
2764,2
2765,0
2766,5
2767,2
2768,7
2769,0
2770,0
2771,5
2772,9
2773,1
2774,8
2775,8
2776,0
2777,2
2778,5
2779,2
2780,4
2781,3
2782,4
2783,2
2784,5
2785,8
2786,0
2787,3
2788,1
2789,7
2790,6
2791,4
2792,5
2793,8
2794,0
2795,8
2796,2
2797,2
2798,0
2799,6
2800,9
2801,3
2802,8
2803,2
2804,4
2805,3
2806,5
2807,0
2808,7
2809,7
2810,7
2811,8
2812,0
2813,2
2814,5
2815,2
2816,7
2817,8
2818,7
2819,0
2820,8
2821,9
2822,7
2823,8
2824,9
2825,8
2826,3
2827,8
2828,8
2829,8
2830,3
2831,8
2832,7
2833,3
2834,9
2835,5
2836,0
2837,3
2838,5
2839,4
2840,9
2841,0
2842,3
2843,5
2844,8
2845,5
2846,2
2847,3
2848,2
2849,8
2850,7
2851,1
2852,1
2853,8
2854,8
2855,4
2856,8
2857,0
2858,4
2859,5
2860,6
2861,1
2862,7
2863,2
2864,9
2865,2
2866,2
2867,7
2868,1
2869,9
2870,2
2871,2
2872,8
2873,6
2874,3
2875,0
2876,6
2877,8
2878,4
2879,9
2880,7
2881,5
2882,9
2883,0
2884,5
2885,2
2886,6
2887,3
2888,0
2889,7
2890,3
2891,0
2892,4
2893,4
2894,7
2895,8
2896,0
2897,5
2898,3
2899,8
2900,5
2901,7
2902,6
2903,0
2904,0
2905,8
2906,5
2907,4
2908,8
2909,1
2910,2
2911,7
2912,3
2913,9
2914,9
2915,7
2916,9
2917,0
2918,4
2919,1
2920,0
2921,8
2922,0
2923,7
2924,1
2925,7
2926,8
2927,1
2928,7
2929,5
2930,0
2931,9
2932,6
2933,0
2934,4
2935,1
2936,9
2937,3
2938,9
2939,2
2940,8
2941,9
2942,3
2943,6
2944,2
2945,2
2946,4
2947,3
2948,8
2949,7
2950,9
2951,3
2952,7
2953,5
2954,3
2955,4
2956,6
2957,7
2958,8
2959,9
2960,4
2961,8
2962,0
2963,1
2964,1
2965,6
2966,2
2967,0
2968,8
2969,7
2970,9
2971,3
2972,9
2973,7
2974,6
2975,5
2976,4
2977,7
2978,9
2979,2
2980,0
2981,2
2982,0
2983,9
2984,5
2985,2
2986,4
2987,0
2988,0
2989,3
2990,0
2991,7
2992,5
2993,6
2994,8
2995,5
2996,9
2997,8
